0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
61	27	12
36	4	60
2	53	45
92	3	5
11	22	67
33	64	3
41	11	48
53	47	0
44	37	19
59	23	18
41	29	30
78	16	6
35	42	23
88	6	6
40	42	18
64	5	31
90	6	4
1	93	6
48	29	23
23	54	23
56	40	4
66	31	3
8	44	48
39	26	35
23	37	40
38	18	44
82	15	3
39	58	3
4	30	66
77	6	17
73	21	6
45	24	31
72	12	16
86	7	7
91	7	2
37	57	6
87	9	4
9	58	33
21	22	57
46	6	48
30	13	57
68	0	32
91	2	7
50	36	14
74	20	6
96	0	4
88	7	5
21	10	69
17	13	70
14	9	77
16	35	49
51	0	49
49	19	32
56	3	41
24	8	68
44	9	47
89	2	9
95	3	2
48	0	52
58	18	24
80	9	11
57	22	21
38	38	24
79	15	6
88	11	1
2	34	64
72	28	0
46	33	21
69	16	15
81	12	7
0	10	90
3	69	28
61	1	38
89	2	9
85	12	3
